sampled_utc|timestamp|wan_name|metric_name|value
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:38:57|1777707537|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:38:58|1777707538|spectrum|wanctl_arbitration_active_primary|1.0
