sampled_utc|timestamp|wan_name|metric_name|value
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_active_primary|1.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:40|1777707100|spectrum|wanctl_arbitration_refractory_active|0.0
2026-05-02 07:31:41|1777707101|spectrum|wanctl_arbitration_active_primary|1.0
